sample_type,negative_control_name_pattern
Leaf,neg_control_1_16S
Leaf,neg_control_2_16S
Leaf,leaf_1
Leaf,leaf_2
Leaf,leaf_3
Leaf,leaf_4
Leaf,leaf_5
Leaf,leaf_6
Root,1_root
Root,2_root
Root,root_1
Root,root_2
Root,root_3
Root,root_4
Root,root_5
Root,root_6
MSoil,neg_control_1_16S
MSoil,neg_control_2_16S
MSoil,neg_control_M_1
MSoil,neg_control_M_2
MSoil,neg_control_M_3
MSoil,neg_control_M_4
MSoil,neg_control_M_5
MSoil,neg_control_M_6
OSoil,neg_control_1_soil
OSoil,neg_control_2_soil
OSoil,neg_control_O_1
OSoil,neg_control_O_2
OSoil,neg_control_O_3
OSoil,neg_control_O_4
OSoil,neg_control_O_5
OSoil,neg_control_O_6
OSoil,neg_control_o_rerun1_1
OSoil,neg_control_o_rerun1_2
OSoil,neg_control_o_rerun2_1
OSoil,neg_control_o_rerun2_2
